,State,Quarter,Sex,Total
116,Baja California,2024-Q4,Hombre,31046
117,Baja California,2024-Q4,Mujer,13606
118,Baja California,2025-Q1,Hombre,22103
119,Baja California,2025-Q1,Mujer,16872
0,Baja California,2010-Q1,Hombre,871703
1,Baja California,2010-Q1,Mujer,523631
2,Baja California,2010-Q2,Hombre,865855
3,Baja California,2010-Q2,Mujer,535714
4,Baja California,2010-Q3,Hombre,866836
5,Baja California,2010-Q3,Mujer,515918
6,Baja California,2010-Q4,Hombre,875350
7,Baja California,2010-Q4,Mujer,536089
8,Baja California,2011-Q1,Hombre,883117
9,Baja California,2011-Q1,Mujer,517520
10,Baja California,2011-Q2,Hombre,901511
11,Baja California,2011-Q2,Mujer,533467
12,Baja California,2011-Q3,Hombre,894659
13,Baja California,2011-Q3,Mujer,545032
14,Baja California,2011-Q4,Hombre,926583
15,Baja California,2011-Q4,Mujer,580594
16,Baja California,2012-Q1,Hombre,898947
17,Baja California,2012-Q1,Mujer,546495
18,Baja California,2012-Q2,Hombre,933521
19,Baja California,2012-Q2,Mujer,594151
20,Baja California,2012-Q3,Hombre,930189
21,Baja California,2012-Q3,Mujer,593063
22,Baja California,2012-Q4,Hombre,913945
23,Baja California,2012-Q4,Mujer,598730
24,Baja California,2013-Q1,Hombre,918577
25,Baja California,2013-Q1,Mujer,564215
26,Baja California,2013-Q2,Hombre,941585
27,Baja California,2013-Q2,Mujer,630014
28,Baja California,2013-Q3,Hombre,943097
29,Baja California,2013-Q3,Mujer,606298
30,Baja California,2013-Q4,Hombre,945022
31,Baja California,2013-Q4,Mujer,610400
32,Baja California,2014-Q1,Hombre,942765
33,Baja California,2014-Q1,Mujer,595472
34,Baja California,2014-Q2,Hombre,955747
35,Baja California,2014-Q2,Mujer,614411
36,Baja California,2014-Q3,Hombre,960396
37,Baja California,2014-Q3,Mujer,596703
38,Baja California,2014-Q4,Hombre,960321
39,Baja California,2014-Q4,Mujer,610726
40,Baja California,2015-Q1,Hombre,968506
41,Baja California,2015-Q1,Mujer,593958
42,Baja California,2015-Q2,Hombre,974737
43,Baja California,2015-Q2,Mujer,600915
44,Baja California,2015-Q3,Hombre,983179
45,Baja California,2015-Q3,Mujer,590939
46,Baja California,2015-Q4,Hombre,982756
47,Baja California,2015-Q4,Mujer,614671
48,Baja California,2016-Q1,Hombre,968464
49,Baja California,2016-Q1,Mujer,608378
50,Baja California,2016-Q2,Hombre,986135
51,Baja California,2016-Q2,Mujer,609457
52,Baja California,2016-Q3,Hombre,1004123
53,Baja California,2016-Q3,Mujer,633041
54,Baja California,2016-Q4,Hombre,988509
55,Baja California,2016-Q4,Mujer,647867
56,Baja California,2017-Q1,Hombre,982684
57,Baja California,2017-Q1,Mujer,634167
58,Baja California,2017-Q2,Hombre,1015242
59,Baja California,2017-Q2,Mujer,668968
60,Baja California,2017-Q3,Hombre,1018295
61,Baja California,2017-Q3,Mujer,662064
62,Baja California,2017-Q4,Hombre,1018845
63,Baja California,2017-Q4,Mujer,658773
64,Baja California,2018-Q1,Hombre,1040918
65,Baja California,2018-Q1,Mujer,643496
66,Baja California,2018-Q2,Hombre,1042965
67,Baja California,2018-Q2,Mujer,682157
68,Baja California,2018-Q3,Hombre,1025956
69,Baja California,2018-Q3,Mujer,699757
70,Baja California,2018-Q4,Hombre,1042561
71,Baja California,2018-Q4,Mujer,699054
72,Baja California,2019-Q1,Hombre,1040248
73,Baja California,2019-Q1,Mujer,689241
74,Baja California,2019-Q2,Hombre,1063066
75,Baja California,2019-Q2,Mujer,696138
76,Baja California,2019-Q3,Hombre,1063966
77,Baja California,2019-Q3,Mujer,710007
78,Baja California,2019-Q4,Hombre,1060061
79,Baja California,2019-Q4,Mujer,706503
80,Baja California,2020-Q1,Hombre,1045765
81,Baja California,2020-Q1,Mujer,680559
82,Baja California,2020-Q3,Hombre,1011112
83,Baja California,2020-Q3,Mujer,643526
84,Baja California,2020-Q4,Hombre,1044340
85,Baja California,2020-Q4,Mujer,660674
86,Baja California,2021-Q1,Hombre,1048841
87,Baja California,2021-Q1,Mujer,683141
88,Baja California,2021-Q2,Hombre,1097712
89,Baja California,2021-Q2,Mujer,711029
90,Baja California,2021-Q3,Hombre,1104448
91,Baja California,2021-Q3,Mujer,709177
92,Baja California,2021-Q4,Hombre,1113476
93,Baja California,2021-Q4,Mujer,713972
94,Baja California,2022-Q1,Hombre,1087966
95,Baja California,2022-Q1,Mujer,716756
96,Baja California,2022-Q2,Hombre,1110069
97,Baja California,2022-Q2,Mujer,742880
98,Baja California,2022-Q3,Hombre,1102274
99,Baja California,2022-Q3,Mujer,727782
100,Baja California,2022-Q4,Hombre,1100707
101,Baja California,2022-Q4,Mujer,747386
102,Baja California,2023-Q1,Hombre,1091243
103,Baja California,2023-Q1,Mujer,732476
104,Baja California,2023-Q2,Hombre,1101136
105,Baja California,2023-Q2,Mujer,745249
106,Baja California,2023-Q3,Hombre,1095428
107,Baja California,2023-Q3,Mujer,761853
108,Baja California,2023-Q4,Hombre,1114181
109,Baja California,2023-Q4,Mujer,742776
110,Baja California,2024-Q1,Hombre,1086799
111,Baja California,2024-Q1,Mujer,731644
112,Baja California,2024-Q2,Hombre,1094020
113,Baja California,2024-Q2,Mujer,751171
114,Baja California,2024-Q3,Hombre,1087724
115,Baja California,2024-Q3,Mujer,734463
116,Baja California,2024-Q4,Hombre,1091052
117,Baja California,2024-Q4,Mujer,724733
118,Baja California,2025-Q1,Hombre,1071944
119,Baja California,2025-Q1,Mujer,728925
