,IdState,State,IdQuarter,Quarter,IdSex,Sex,Total
108,2,Baja California,20234,2023-Q4,Hombre,1,1114181
109,2,Baja California,20234,2023-Q4,Mujer,2,742776
110,2,Baja California,20241,2024-Q1,Hombre,1,1086799
111,2,Baja California,20241,2024-Q1,Mujer,2,731644
112,2,Baja California,20242,2024-Q2,Hombre,1,1094020
113,2,Baja California,20242,2024-Q2,Mujer,2,751171
114,2,Baja California,20243,2024-Q3,Hombre,1,1087724
115,2,Baja California,20243,2024-Q3,Mujer,2,734463
116,2,Baja California,20244,2024-Q4,Hombre,1,1091052
117,2,Baja California,20244,2024-Q4,Mujer,2,724733
118,2,Baja California,20251,2025-Q1,Hombre,1,1071944
119,2,Baja California,20251,2025-Q1,Mujer,2,728925
