,IdState,State,IdQuarter,Quarter,IdSex,Sex,Total,Monthly Wage
84,2,Baja California,20204,2020-Q4,1,Hombre,1009786,5598.853064906822
85,2,Baja California,20204,2020-Q4,2,Mujer,645717,4475.248910900596
86,2,Baja California,20211,2021-Q1,1,Hombre,1022533,5697.330572216251
87,2,Baja California,20211,2021-Q1,2,Mujer,665201,4527.009015320182
88,2,Baja California,20212,2021-Q2,1,Hombre,1073704,5649.696310156244
89,2,Baja California,20212,2021-Q2,2,Mujer,690783,4704.090872242079
90,2,Baja California,20213,2021-Q3,1,Hombre,1073235,6333.402788764809
91,2,Baja California,20213,2021-Q3,2,Mujer,688166,5623.004571571394
92,2,Baja California,20214,2021-Q4,1,Hombre,1086268,5796.298483431345
93,2,Baja California,20214,2021-Q4,2,Mujer,703836,5054.473760932945
94,2,Baja California,20221,2022-Q1,1,Hombre,1062402,6825.641396571166
95,2,Baja California,20221,2022-Q1,2,Mujer,707841,5688.3654026822405
96,2,Baja California,20222,2022-Q2,1,Hombre,1077088,7209.379227138358
97,2,Baja California,20222,2022-Q2,2,Mujer,729355,5846.165527075293
98,2,Baja California,20223,2022-Q3,1,Hombre,1072618,6740.790753091967
99,2,Baja California,20223,2022-Q3,2,Mujer,709993,5843.402627913233
100,2,Baja California,20224,2022-Q4,1,Hombre,1068413,6450.426593461517
101,2,Baja California,20224,2022-Q4,2,Mujer,729740,5230.462238605531
102,2,Baja California,20231,2023-Q1,1,Hombre,1070818,7004.348897758536
103,2,Baja California,20231,2023-Q1,2,Mujer,721675,5857.673107700835
104,2,Baja California,20232,2023-Q2,1,Hombre,1075553,6948.738195142406
105,2,Baja California,20232,2023-Q2,2,Mujer,728228,5889.7729543494615
106,2,Baja California,20233,2023-Q3,1,Hombre,1066594,7439.0168048948335
107,2,Baja California,20233,2023-Q3,2,Mujer,745390,6407.546579642872
108,2,Baja California,20234,2023-Q4,1,Hombre,1089911,7078.945512982253
109,2,Baja California,20234,2023-Q4,2,Mujer,725350,5987.195269869718
110,2,Baja California,20241,2024-Q1,1,Hombre,1062415,7714.681616882292
111,2,Baja California,20241,2024-Q1,2,Mujer,717374,6497.1671777901065
112,2,Baja California,20242,2024-Q2,1,Hombre,1063077,7771.842730112682
113,2,Baja California,20242,2024-Q2,2,Mujer,731598,6663.577244607011
114,2,Baja California,20243,2024-Q3,1,Hombre,1057121,9012.740998428751
115,2,Baja California,20243,2024-Q3,2,Mujer,715442,7079.679182938659
116,2,Baja California,20244,2024-Q4,1,Hombre,1060006,8124.572903360924
117,2,Baja California,20244,2024-Q4,2,Mujer,711127,7098.336560136235
118,2,Baja California,20251,2025-Q1,1,Hombre,1049841,7489.604682042328
119,2,Baja California,20251,2025-Q1,2,Mujer,712053,6359.866362475827
